loss,val_loss
36825020.0,88944504.0
36230816.0,72648504.0
36292444.0,107711432.0
37636144.0,88169696.0
37444264.0,77500936.0
36781696.0,88953576.0
36454468.0,69527664.0
36387020.0,87521768.0
36132736.0,79482888.0
36448060.0,79865528.0
35831956.0,72253256.0
35377044.0,79805024.0
35280572.0,80135280.0
37541484.0,84707336.0
35876096.0,85688032.0
35930348.0,90623104.0
35817536.0,77069488.0
36312160.0,53641416.0
37417548.0,89712984.0
36009120.0,82559640.0
36248552.0,58791560.0
35305696.0,57788912.0
35507732.0,58603896.0
36851824.0,49720428.0
36285136.0,46916772.0
36559360.0,52254400.0
36930192.0,71081200.0
38162472.0,60433292.0
36992144.0,59479672.0
38356704.0,41452308.0
35246900.0,41785180.0
46971184.0,115894976.0
43475592.0,41795968.0
44551056.0,113806112.0
41708556.0,136622496.0
50584020.0,58027288.0
44053176.0,88495864.0
45472160.0,116796544.0
45191740.0,111436520.0
45119540.0,87676336.0
44586736.0,96065736.0
57966244.0,97529704.0
57837156.0,53512756.0
43568036.0,97780752.0
41975476.0,78724512.0
41207636.0,74456816.0
41176600.0,68169408.0
40846668.0,67715224.0
37684948.0,63121636.0
37638524.0,61271888.0
37994444.0,79835424.0
41945520.0,67135504.0
38638676.0,71261760.0
38195792.0,90802656.0
38180012.0,76734336.0
40004292.0,78061144.0
41530928.0,78849640.0
42411136.0,86442128.0
41331440.0,75767696.0
43646192.0,99775488.0
45670128.0,160501760.0
48592936.0,129756048.0
49003544.0,108760168.0
45138488.0,108846184.0
43052740.0,103999368.0
42832396.0,96962080.0
42510852.0,102830776.0
40684800.0,90933528.0
42215544.0,86023784.0
46928592.0,91076608.0
58530000.0,109453512.0
48868748.0,106271600.0
42831460.0,105064288.0
43486428.0,112565568.0
43432624.0,83718696.0
43001752.0,90155904.0
41083356.0,89501632.0
39443864.0,80723800.0
41377964.0,74995656.0
40492464.0,84621904.0
40146408.0,82386824.0
40775664.0,74532080.0
40451896.0,70675304.0
42094460.0,79743688.0
41143408.0,74812280.0
43779128.0,149186352.0
54164660.0,68543312.0
48451548.0,114366352.0
48093840.0,112382088.0
47364076.0,86243424.0
44553448.0,99644080.0
44256696.0,100725184.0
45350628.0,106782688.0
45943008.0,90056296.0
45575856.0,109615472.0
44343856.0,87925664.0
43544824.0,90064360.0
